,Episode,Reward
0,1,-7148.294631938169
1,2,-0.5854980966430808
2,3,-2484.4354210802708
3,4,-1895.889744769427
4,5,-5476.983648901352
5,6,-3186.4393742705674
6,7,-4638.868125678316
7,8,-1594.9887014633027
8,9,-5033.032991996307
9,10,-2739.1210923595495
10,11,-440.95060282091737
11,12,-507.4526522426024
12,13,-1303.2280266417547
13,14,-1089.3318654032144
14,15,-1513.1206287766206
15,16,-2906.5457441868416
16,17,-1709.1688669335695
17,18,-1534.6386947523654
18,19,-1749.087061518352
19,20,-1603.2014290245381
20,21,-3834.3538301819085
21,22,-378.6907021055355
22,23,-594.5498011950666
23,24,-497.08588621963077
24,25,-4556.320344668922
25,26,-914.3294394569375
26,27,-708.1304320174015
27,28,-2476.220975501941
28,29,-1408.5162919377747
29,30,-1834.0638286961957
30,31,-764.2490762816146
31,32,-486.50809338523175
32,33,-1943.7297509006037
33,34,-1339.4522592156275
34,35,-2129.073275135042
35,36,-1109.8909627867442
36,37,-1708.4299881222016
37,38,-472.81213348829556
38,39,-903.0953237710389
39,40,-1845.4905587253377
40,41,-1000.6213415870913
41,42,-912.3720077651033
42,43,-689.4271506369483
43,44,-194.01415133968788
44,45,-1196.7266389141773
45,46,-268.22745597621827
46,47,-3583.680076247688
47,48,-445.045688619407
48,49,-1854.225068461527
49,50,-1299.3007893370898
50,51,-1000.6232328526278
51,52,-481.7083615418905
52,53,-477.5119363874298
53,54,-497.1686264343867
54,55,-606.9242934472919
55,56,-1032.0788944892265
56,57,-469.56335018380577
57,58,-3754.3137148195506
58,59,-2356.8351709770377
59,60,-806.1209638092907
60,61,-769.4624779845674
61,62,-477.52425858098155
62,63,-743.2312546032592
63,64,-469.5596569904016
64,65,-1389.4493013867693
65,66,-2532.517286466201
66,67,-1678.8628069044041
67,68,-0.5827893359675203
68,69,-2342.129602559073
69,70,-669.9451164940373
70,71,-618.5809338964302
71,72,-1582.7966648990234
72,73,-570.0009698272477
73,74,-1614.3729608673043
74,75,-1080.9640840513873
75,76,-1799.6140697964697
76,77,-883.7319129618535
77,78,-634.4287788798132
78,79,-390.7248987358018
79,80,-939.8878727298409
80,81,-1081.2188861665395
81,82,-1122.5303650021633
82,83,-3743.516637596691
83,84,-946.5851982372978
84,85,-1132.9932516066156
85,86,-760.5208584081645
86,87,-1661.8829256658355
87,88,-1805.6466201032297
88,89,-3122.180016445016
89,90,-2258.087626316085
90,91,-995.5620240136062
91,92,-465.18592908791464
92,93,-864.237937607989
93,94,-4281.122898190863
94,95,-845.2122146275761
95,96,-989.0205851781093
96,97,-456.38532581327814
97,98,-1076.518288109357
98,99,-767.0895397261074
99,100,-1457.9352357365435
100,101,-1072.2770302181962
101,102,-842.8196054725863
102,103,-313.14057093791115
103,104,-791.4769165364286
104,105,-885.273047569853
105,106,-1017.8346128657172
106,107,-1509.1777167590371
107,108,-1179.6824276035952
108,109,-1300.6994429676022
109,110,-449.56804920605157
110,111,-1007.0644339742798
111,112,-1972.6950908216554
112,113,-263.01085663563447
113,114,-1564.4982260295637
114,115,-673.5240883461147
115,116,-895.3712795123505
116,117,-562.4316762704104
117,118,-1053.204592945164
118,119,-1127.5045025429797
119,120,-810.4330236866138
120,121,-875.705341676535
121,122,-2616.877804199831
122,123,-648.8561407341014
123,124,-646.3959555754919
124,125,-582.3289780264323
125,126,-1124.6924839066505
126,127,-1875.626149085909
127,128,-597.7525420969882
128,129,-1158.919352251569
129,130,-556.11532673687
130,131,-331.56746284833895
131,132,-585.0443765384704
132,133,-1875.5650264800663
133,134,-302.17082635233663
134,135,-500.55215758805855
135,136,-632.4860559204717
136,137,-1139.432120232274
137,138,-823.7185911394421
138,139,-593.6681464503772
139,140,-2192.937640553427
140,141,-1420.11704926826
141,142,-1436.5280638696272
142,143,-840.2059598113549
143,144,-532.0320590009255
144,145,-1695.9485528069324
145,146,-1612.91303645996
146,147,-761.0999702715877
147,148,-748.5353317854253
148,149,-476.431751910845
149,150,-599.3295640511184
150,151,-1517.6124377748138
151,152,-2623.2674672536255
152,153,-4765.946744494025
153,154,-568.3885623733848
154,155,-1909.1296870070905
155,156,-1303.846079700544
156,157,-733.9434183550953
157,158,-1239.380801754417
158,159,-304.5840499656529
159,160,-722.8118415714421
160,161,-717.7195264688086
161,162,-514.4392390321083
162,163,-542.8160696135437
163,164,-824.7112322843082
164,165,-1706.9157498282023
165,166,-4574.162656330316
166,167,-697.1839078256673
167,168,-4042.566268577041
168,169,-622.908761497902
169,170,-493.60141349755304
170,171,-2969.191142487859
171,172,-657.8834980084185
172,173,-2020.009055643552
173,174,-605.8689859656885
174,175,-528.3471165760591
175,176,-497.0435734424405
176,177,-510.30080163102804
177,178,-314.0662164391119
178,179,-905.1148990405172
179,180,-674.1579949732758
180,181,-225.27609771386494
181,182,-322.320229315411
182,183,-265.87576533004284
183,184,-711.6152688513254
184,185,-519.8444327852353
185,186,-1032.8637853529467
186,187,-1734.8130863937035
187,188,-884.137495963038
188,189,-669.89944516618
189,190,-526.9581132216285
190,191,-441.96427683982256
191,192,-1113.8441430242435
192,193,-611.8424834286949
193,194,-5181.3031253011495
194,195,-414.38089293833957
195,196,-455.8041672139711
196,197,-510.9448303194347
197,198,-1318.7665569263497
198,199,-425.1334406465271
199,200,-421.26214813102604
200,201,-513.6763608491707
201,202,-2149.005280912317
202,203,-1667.260069371792
203,204,-1027.126063452882
204,205,-280.7788215711066
205,206,-66.77920514970778
206,207,-2125.4136030102704
207,208,-1224.3144407075793
208,209,-1298.146977294107
209,210,-220.9708356816447
210,211,-828.1833187985136
211,212,-884.5205498237628
212,213,-1573.0559727628695
213,214,-1469.0285083306383
214,215,-546.1225579933077
215,216,-551.6110586578171
216,217,-510.0085509669773
217,218,-656.9063020826213
218,219,-2887.9256409366176
219,220,-1139.0582623610999
220,221,-1462.1218704841197
221,222,-1198.0828214713
222,223,-292.47728021280636
223,224,-870.2646192182929
224,225,-459.2792252191994
225,226,-608.1596526180549
226,227,-1187.9345557525064
227,228,-2542.741719379726
228,229,-134.22890368801407
229,230,-227.58961710138985
230,231,-441.17226445443805
231,232,-1782.3172363370381
232,233,-787.808623242046
233,234,-1203.4181389993742
234,235,-1205.2674903619225
235,236,-1470.716806333041
236,237,-681.911431249068
237,238,-1205.9218516212661
238,239,-1237.9776386533695
239,240,-2262.0187092806837
240,241,-591.9721082405765
241,242,-682.0273298742342
242,243,-3244.8162269533655
243,244,-1620.898480643788
244,245,-1099.49721788676
245,246,-1387.048956447245
246,247,-1100.0606094065608
247,248,-1195.290891268066
248,249,-955.5616390660912
249,250,-1485.830946893936
250,251,-787.706356369167
251,252,-365.52616674364566
252,253,-864.250743968226
253,254,-1871.4032881216554
254,255,-1835.577498292318
255,256,-1561.5657284599247
256,257,-531.8170620201267
